航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
加拿大航空,AC6535,TPE,ICN,2024-10-28,2024-10-28,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-10-29,2024-10-29,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-10-30,2024-10-30,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-10-31,2024-10-31,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-01,2024-11-01,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-02,2024-11-02,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-03,2024-11-03,07:30,11:00,35107,18722,30,274
加拿大航空,AC6536,TPE,NRT,2024-10-28,2024-10-28,07:55,12:25,28432,13786,30,274
加拿大航空,AC6536,TPE,NRT,2024-10-29,2024-10-29,07:55,12:25,28432,13786,30,274
加拿大航空,AC6536,TPE,NRT,2024-10-30,2024-10-30,07:55,12:25,28432,13786,30,274
加拿大航空,AC6536,TPE,NRT,2024-10-31,2024-10-31,07:55,12:25,28432,13786,30,274
加拿大航空,AC6536,TPE,NRT,2024-11-01,2024-11-01,07:55,12:25,28432,13786,30,274
加拿大航空,AC6536,TPE,NRT,2024-11-02,2024-11-02,07:55,12:25,28432,13786,30,274
加拿大航空,AC6536,TPE,NRT,2024-11-03,2024-11-03,07:55,12:25,28432,13786,30,274
加拿大航空,AC6543,TPE,NRT,2024-10-28,2024-10-28,09:00,13:25,28473,13985,30,274
加拿大航空,AC6544,TPE,NRT,2024-10-29,2024-10-29,09:00,13:25,28473,13985,30,274
加拿大航空,AC6545,TPE,NRT,2024-10-30,2024-10-30,09:00,13:25,28473,13985,30,274
加拿大航空,AC6546,TPE,NRT,2024-10-31,2024-10-31,09:00,13:25,28473,13985,30,274
加拿大航空,AC6547,TPE,NRT,2024-11-01,2024-11-01,09:00,13:25,28473,13985,30,274
加拿大航空,AC6548,TPE,NRT,2024-11-02,2024-11-02,09:00,13:25,28473,13985,30,274
加拿大航空,AC6549,TPE,NRT,2024-11-03,2024-11-03,09:00,13:25,28473,13985,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-04,2024-11-04,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-05,2024-11-05,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-06,2024-11-06,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-07,2024-11-07,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-08,2024-11-08,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-09,2024-11-09,07:30,11:00,35107,18722,30,274
加拿大航空,AC6535,TPE,ICN,2024-11-10,2024-11-10,07:30,11:00,35107,18722,30,274
加拿大航空,AC6536,TPE,NRT,2024-11-04,2024-11-04,07:55,12:25,28432,13786,30,274
