航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
日本航空,JL5100,TPE,CTS,2024-10-28,2024-10-28,08:35,"	13:30",49660,32160,24,212
日本航空,JL5100,TPE,CTS,2024-10-29,2024-10-29,08:35,"	13:30",49660,32160,24,212
日本航空,JL5100,TPE,CTS,2024-10-30,2024-10-30,08:35,"	13:30",49660,32160,24,212
日本航空,JL5100,TPE,CTS,2024-10-31,2024-10-31,08:35,"	13:30",49660,32160,24,212
日本航空,JL5100,TPE,CTS,2024-11-01,2024-11-01,08:35,"	13:30",49660,32160,24,212
日本航空,JL5100,TPE,CTS,2024-11-02,2024-11-02,08:35,"	13:30",49660,32160,24,212
日本航空,JL5100,TPE,CTS,2024-11-03,2024-11-03,08:35,"	13:30",49660,32160,24,212
日本航空,JL5126,TPE,FUK,2024-10-28,2024-10-28,06:50,"	09:55",27883,15165,26,270
日本航空,JL5126,TPE,FUK,2024-10-29,2024-10-29,06:50,"	09:55",27883,15165,26,270
日本航空,JL5126,TPE,FUK,2024-10-30,2024-10-30,06:50,"	09:55",27883,15165,26,270
日本航空,JL5126,TPE,FUK,2024-10-31,2024-10-31,06:50,"	09:55",27883,15165,26,270
日本航空,JL5126,TPE,FUK,2024-11-01,2024-11-01,06:50,"	09:55",27883,15165,26,270
日本航空,JL5126,TPE,FUK,2024-11-02,2024-11-02,06:50,"	09:55",27883,15165,26,270
日本航空,JL5126,TPE,FUK,2024-11-03,2024-11-03,06:50,"	09:55",27883,15165,26,270
日本航空,JL5174,TPE,FUK,2024-10-29,2024-10-29,14:50,18:05,30695,17388,26,270
日本航空,JL5174,TPE,FUK,2024-10-31,2024-10-31,14:50,18:05,30695,17388,26,270
日本航空,JL5174,TPE,FUK,2024-11-01,2024-11-01,14:50,18:05,30695,17388,26,270
日本航空,JL5174,TPE,FUK,2024-11-02,2024-11-02,14:50,18:05,30695,17388,26,270
日本航空,JL5174,TPE,FUK,2024-11-03,2024-11-03,14:50,18:05,30695,17388,26,270
日本航空,JL5128,TPE,FUK,2024-10-28,2024-10-28,16:40,20:00,30695,17388,26,270
日本航空,JL5128,TPE,FUK,2024-10-29,2024-10-29,16:40,20:00,30695,17388,26,270
日本航空,JL5128,TPE,FUK,2024-10-30,2024-10-30,16:40,20:00,30695,17388,26,270
日本航空,JL5128,TPE,FUK,2024-10-31,2024-10-31,16:40,20:00,30695,17388,26,270
日本航空,JL5128,TPE,FUK,2024-11-01,2024-11-01,16:40,20:00,30695,17388,26,270
日本航空,JL5128,TPE,FUK,2024-11-02,2024-11-02,16:40,20:00,30695,17388,26,270
日本航空,JL5128,TPE,FUK,2024-11-03,2024-11-03,16:40,20:00,30695,17388,26,270
