航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
澳洲航空,QF8726,TPE,BNE,2024-10-28,2024-10-28,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-10-30,2024-10-30,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-10-31,2024-10-31,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-01,2024-11-01,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-02,2024-11-02,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-04,2024-11-04,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-06,2024-11-06,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-07,2024-11-07,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-08,2024-11-08,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-09,2024-11-09,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-11,2024-11-11,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-13,2024-11-13,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-14,2024-11-14,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-15,2024-11-15,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-16,2024-11-16,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-18,2024-11-18,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-20,2024-11-20,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-21,2024-11-21,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-22,2024-11-22,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-23,2024-11-23,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-25,2024-11-25,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-27,2024-11-27,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-28,2024-11-28,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-29,2024-11-29,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-11-30,2024-11-30,23:55,10:45,79421,26520,34,238
澳洲航空,QF8726,TPE,BNE,2024-12-02,2024-12-02,23:55,10:45,79421,26520,34,238
