航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
全日空,NH5816,TPE,CTS,2024-10-28,2024-10-28,10:10,15:00,39799,16627,28,269
全日空,NH5816,TPE,CTS,2024-10-29,2024-10-29,10:10,15:00,39799,16627,28,269
全日空,NH5816,TPE,CTS,2024-10-30,2024-10-30,10:10,15:00,39799,16627,28,269
全日空,NH5816,TPE,CTS,2024-10-31,2024-10-31,10:10,15:00,39799,16627,28,269
全日空,NH5816,TPE,CTS,2024-11-01,2024-11-01,10:10,15:00,39799,16627,28,269
全日空,NH5816,TPE,CTS,2024-11-02,2024-11-02,10:10,15:00,39799,16627,28,269
全日空,NH5816,TPE,CTS,2024-11-03,2024-11-03,10:10,15:00,39799,16627,28,269
全日空,NH5802,TPE,FUK,2024-10-28,2024-10-28,08:10,11:20,26590,16388,40,192
全日空,NH5802,TPE,FUK,2024-10-29,2024-10-29,08:10,11:20,26590,16388,40,192
全日空,NH5802,TPE,FUK,2024-10-30,2024-10-30,08:10,11:20,26590,16388,40,192
全日空,NH5802,TPE,FUK,2024-10-31,2024-10-31,08:10,11:20,26590,16388,40,192
全日空,NH5802,TPE,FUK,2024-11-01,2024-11-01,08:10,11:20,26590,16388,40,192
全日空,NH5802,TPE,FUK,2024-11-02,2024-11-02,08:10,11:20,26590,16388,40,192
全日空,NH5802,TPE,FUK,2024-11-03,2024-11-03,08:10,11:20,26590,16388,40,192
全日空,NH5848,TPE,FUK,2024-10-28,2024-10-28,15:10,"	18:20",28442,18240,40,192
全日空,NH5848,TPE,FUK,2024-10-29,2024-10-29,15:10,"	18:20",28442,18240,40,192
全日空,NH5848,TPE,FUK,2024-10-30,2024-10-30,15:10,"	18:20",28442,18240,40,192
全日空,NH5848,TPE,FUK,2024-10-31,2024-10-31,15:10,"	18:20",28442,18240,40,192
全日空,NH5848,TPE,FUK,2024-11-01,2024-11-01,15:10,"	18:20",28442,18240,40,192
全日空,NH5848,TPE,FUK,2024-11-02,2024-11-02,15:10,"	18:20",28442,18240,40,192
全日空,NH5848,TPE,FUK,2024-11-03,2024-11-03,15:10,"	18:20",28442,18240,40,192
全日空,NH5834,TPE,KIX,2024-10-28,2024-10-28,06:30,10:10,27889,11234,24,265
全日空,NH5835,TPE,KIX,2024-10-29,2024-10-29,06:30,10:10,27890,11234,24,265
全日空,NH5836,TPE,KIX,2024-10-30,2024-10-30,06:30,10:10,27891,11234,24,265
全日空,NH5837,TPE,KIX,2024-10-31,2024-10-31,06:30,10:10,27892,11234,24,265
全日空,NH5838,TPE,KIX,2024-11-01,2024-11-01,06:30,10:10,27893,11234,24,265
全日空,NH5839,TPE,KIX,2024-11-02,2024-11-02,06:30,10:10,27894,11234,24,265
全日空,NH5840,TPE,KIX,2024-11-03,2024-11-03,06:30,10:10,27895,11234,24,265
全日空,NH5812,TPE,KIX,2024-10-28,2024-10-28,08:30,"	12:10",26869,13756,40,192
全日空,NH5812,TPE,KIX,2024-10-29,2024-10-29,08:30,"	12:10",26869,13756,40,192
全日空,NH5812,TPE,KIX,2024-10-30,2024-10-30,08:30,"	12:10",26869,13756,40,192
全日空,NH5812,TPE,KIX,2024-10-31,2024-10-31,08:30,"	12:10",26869,13756,40,192
全日空,NH5812,TPE,KIX,2024-11-01,2024-11-01,08:30,"	12:10",26869,13756,40,192
全日空,NH5812,TPE,KIX,2024-11-02,2024-11-02,08:30,"	12:10",26869,13756,40,192
全日空,NH5812,TPE,KIX,2024-11-03,2024-11-03,08:30,"	12:10",26869,13756,40,192
全日空,NH3524,TPE,KIX,2024-10-28,2024-10-28,10:50,14:35,27856,14589,40,192
全日空,NH3524,TPE,KIX,2024-10-29,2024-10-29,10:50,14:35,27856,14589,40,192
全日空,NH3524,TPE,KIX,2024-10-30,2024-10-30,10:50,14:35,27856,14589,40,192
全日空,NH3524,TPE,KIX,2024-10-31,2024-10-31,10:50,14:35,27856,14589,40,192
全日空,NH3524,TPE,KIX,2024-11-01,2024-11-01,10:50,14:35,27856,14589,40,192
全日空,NH3524,TPE,KIX,2024-11-02,2024-11-02,10:50,14:35,27856,14589,40,192
全日空,NH3524,TPE,KIX,2024-11-03,2024-11-03,10:50,14:35,27856,14589,40,192
全日空,NH5828,TPE,KIX,2024-10-28,2024-10-28,13:35,17:15,27856,14589,40,192
全日空,NH5828,TPE,KIX,2024-10-29,2024-10-29,13:35,17:15,27856,14589,40,192
全日空,NH5828,TPE,KIX,2024-10-30,2024-10-30,13:35,17:15,27856,14589,40,192
全日空,NH5828,TPE,KIX,2024-10-31,2024-10-31,13:35,17:15,27856,14589,40,192
全日空,NH5828,TPE,KIX,2024-11-01,2024-11-01,13:35,17:15,27856,14589,40,192
