航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
捷星日本,GK050,TPE,KIX,2024-10-28,2024-10-28,02:30,06:05,0,3469,0,168
捷星日本,GK051,TPE,KIX,2024-10-29,2024-10-29,02:30,06:05,0,3469,0,168
捷星日本,GK052,TPE,KIX,2024-10-30,2024-10-30,02:30,06:05,0,3469,0,168
捷星日本,GK053,TPE,KIX,2024-10-31,2024-10-31,02:30,06:05,0,3469,0,168
捷星日本,GK054,TPE,KIX,2024-11-01,2024-11-01,02:30,06:05,0,3469,0,168
捷星日本,GK055,TPE,KIX,2024-11-02,2024-11-02,02:30,06:05,0,3469,0,168
捷星日本,GK056,TPE,KIX,2024-11-03,2024-11-03,02:30,06:05,0,3469,0,168
捷星日本,GK012,TPE,NRT,2024-10-28,2024-10-28,02:40,"	07:00",0,3526,0,180
捷星日本,GK012,TPE,NRT,2024-10-29,2024-10-29,02:40,"	07:00",0,3526,0,180
捷星日本,GK012,TPE,NRT,2024-10-30,2024-10-30,02:40,"	07:00",0,3526,0,180
捷星日本,GK012,TPE,NRT,2024-10-31,2024-10-31,02:40,"	07:00",0,3526,0,180
捷星日本,GK012,TPE,NRT,2024-11-01,2024-11-01,02:40,"	07:00",0,3526,0,180
捷星日本,GK012,TPE,NRT,2024-11-02,2024-11-02,02:40,"	07:00",0,3526,0,180
捷星日本,GK012,TPE,NRT,2024-11-03,2024-11-03,02:40,"	07:00",0,3526,0,180
捷星日本,GK014,TPE,NRT,2024-10-28,2024-10-28,13:05,"	17:30",0,3526,0,180
捷星日本,GK014,TPE,NRT,2024-10-29,2024-10-29,13:10,17:35,0,3526,0,180
捷星日本,GK014,TPE,NRT,2024-10-30,2024-10-30,13:10,17:35,0,3526,0,180
捷星日本,GK014,TPE,NRT,2024-10-31,2024-10-31,13:10,17:35,0,3526,0,180
捷星日本,GK014,TPE,NRT,2024-11-01,2024-11-01,13:10,17:35,0,3526,0,180
捷星日本,GK014,TPE,NRT,2024-11-02,2024-11-02,13:10,17:35,0,3526,0,180
捷星日本,GK014,TPE,NRT,2024-11-03,2024-11-03,13:10,17:35,0,3526,0,180
捷星日本,GK050,TPE,KIX,2024-11-04,2024-11-04,02:30,06:05,0,3469,0,168
捷星日本,GK051,TPE,KIX,2024-11-05,2024-11-05,02:30,06:05,0,3469,0,168
捷星日本,GK052,TPE,KIX,2024-11-06,2024-11-06,02:30,06:05,0,3469,0,168
捷星日本,GK053,TPE,KIX,2024-11-07,2024-11-07,02:30,06:05,0,3469,0,168
捷星日本,GK054,TPE,KIX,2024-11-08,2024-11-08,02:30,06:05,0,3469,0,168
捷星日本,GK055,TPE,KIX,2024-11-09,2024-11-09,02:30,06:05,0,3469,0,168
捷星日本,GK056,TPE,KIX,2024-11-10,2024-11-10,02:30,06:05,0,3469,0,168
