航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
樂桃航空,MM860,TPE,HND,2024-10-28,2024-10-28,20:25,00:45,0,4810,0,182
樂桃航空,MM860,TPE,HND,2024-10-29,2024-10-29,20:25,00:45,0,4810,0,182
樂桃航空,MM860,TPE,HND,2024-10-30,2024-10-30,20:25,00:45,0,4810,0,182
樂桃航空,MM860,TPE,HND,2024-10-31,2024-10-31,20:25,00:45,0,4810,0,182
樂桃航空,MM860,TPE,HND,2024-11-01,2024-11-01,20:25,00:45,0,4810,0,182
樂桃航空,MM860,TPE,HND,2024-11-02,2024-11-02,20:25,00:45,0,4810,0,182
樂桃航空,MM860,TPE,HND,2024-11-03,2024-11-03,20:25,00:45,0,4810,0,182
樂桃航空,MM024,TPE,KIX,2024-10-28,2024-10-28,10:50,14:35,0,4532,0,168
樂桃航空,MM024,TPE,KIX,2024-10-29,2024-10-29,10:50,14:35,0,4532,0,168
樂桃航空,MM024,TPE,KIX,2024-10-30,2024-10-30,10:50,14:35,0,4532,0,168
樂桃航空,MM024,TPE,KIX,2024-10-31,2024-10-31,10:50,14:35,0,4532,0,168
樂桃航空,MM024,TPE,KIX,2024-11-01,2024-11-01,10:50,14:35,0,4532,0,168
樂桃航空,MM024,TPE,KIX,2024-11-02,2024-11-02,10:50,14:35,0,4532,0,168
樂桃航空,MM024,TPE,KIX,2024-11-03,2024-11-03,10:50,14:35,0,4532,0,168
樂桃航空,MM028,TPE,KIX,2024-10-28,2024-10-28,18:45,"	22:30",0,3428,0,168
樂桃航空,MM028,TPE,KIX,2024-10-29,2024-10-29,18:45,"	22:30",0,3428,0,168
樂桃航空,MM028,TPE,KIX,2024-10-30,2024-10-30,18:45,"	22:30",0,3428,0,168
樂桃航空,MM028,TPE,KIX,2024-10-31,2024-10-31,18:45,"	22:30",0,3428,0,168
樂桃航空,MM028,TPE,KIX,2024-11-01,2024-11-01,18:45,"	22:30",0,3428,0,168
樂桃航空,MM028,TPE,KIX,2024-11-02,2024-11-02,18:45,"	22:30",0,3428,0,168
樂桃航空,MM028,TPE,KIX,2024-11-03,2024-11-03,18:45,"	22:30",0,3428,0,168
樂桃航空,MM620,TPE,NRT,2024-10-28,2024-10-28,02:10,06:40,0,3596,0,166
