航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
聯合航空,UA872,TPE,SFO,2024-10-28,2024-10-28,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-10-29,2024-10-29,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-10-30,2024-10-30,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-10-31,2024-10-31,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-01,2024-11-01,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-02,2024-11-02,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-03,2024-11-03,10:10,6:35,138342,26623,50,300
聯合航空,UA871,SFO,TPE,2024-10-28,2024-10-28,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-10-29,2024-10-29,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-10-30,2024-10-30,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-10-31,2024-10-31,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-01,2024-11-01,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-02,2024-11-02,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-03,2024-11-03,13:35,18:50,180604,26085,50,300
聯合航空,UA852,TPE,SFO,2024-10-28,2024-10-28,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-10-29,2024-10-29,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-10-30,2024-10-30,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-10-31,2024-10-31,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-01,2024-11-01,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-02,2024-11-02,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-03,2024-11-03,14:45,11:10,138342,26623,50,300
聯合航空,UA853,SFO,TPE,2024-10-28,2024-10-28,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-10-29,2024-10-29,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-10-30,2024-10-30,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-10-31,2024-10-31,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-01,2024-11-01,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-02,2024-11-02,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-03,2024-11-03,11:15,04:45,180604,26085,50,300
聯合航空,UA872,TPE,SFO,2024-11-04,2024-11-04,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-05,2024-11-05,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-06,2024-11-06,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-07,2024-11-07,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-08,2024-11-08,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-09,2024-11-09,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-10,2024-11-10,10:10,6:35,138342,26623,50,300
聯合航空,UA871,SFO,TPE,2024-11-04,2024-11-04,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-05,2024-11-05,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-06,2024-11-06,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-07,2024-11-07,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-08,2024-11-08,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-09,2024-11-09,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-10,2024-11-10,13:35,18:50,180604,26085,50,300
聯合航空,UA852,TPE,SFO,2024-11-04,2024-11-04,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-05,2024-11-05,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-06,2024-11-06,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-07,2024-11-07,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-08,2024-11-08,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-09,2024-11-09,14:45,11:10,138342,26623,50,300
聯合航空,UA852,TPE,SFO,2024-11-10,2024-11-10,14:45,11:10,138342,26623,50,300
聯合航空,UA853,SFO,TPE,2024-11-04,2024-11-04,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-05,2024-11-05,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-06,2024-11-06,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-07,2024-11-07,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-08,2024-11-08,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-09,2024-11-09,11:15,04:45,180604,26085,50,300
聯合航空,UA853,SFO,TPE,2024-11-10,2024-11-10,11:15,04:45,180604,26085,50,300
聯合航空,UA872,TPE,SFO,2024-11-11,2024-11-11,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-12,2024-11-12,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-13,2024-11-13,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-14,2024-11-14,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-15,2024-11-15,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-16,2024-11-16,10:10,6:35,138342,26623,50,300
聯合航空,UA872,TPE,SFO,2024-11-17,2024-11-17,10:10,6:35,138342,26623,50,300
聯合航空,UA871,SFO,TPE,2024-11-11,2024-11-11,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-12,2024-11-12,13:35,18:50,180604,26085,50,300
聯合航空,UA871,SFO,TPE,2024-11-13,2024-11-13,13:35,18:50,180604,26085,50,300
