航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
荷蘭航空,KL808,TPE,AMS,2024-10-28,2024-10-28,0:25,08:15,97310,23000,12,282
荷蘭航空,KL808,TPE,AMS,2024-10-29,2024-10-29,0:25,08:15,97310,23000,12,282
荷蘭航空,KL808,TPE,AMS,2024-10-31,2024-10-31,0:25,08:15,97310,23000,12,282
荷蘭航空,KL808,TPE,AMS,2024-11-01,2024-11-01,0:25,08:15,97310,23000,12,282
荷蘭航空,KL808,TPE,AMS,2024-11-03,2024-11-03,0:25,08:15,97310,23000,12,282
荷蘭航空,KL807,AMS,TPE,2024-10-29,2024-10-29,20:15,15:45,106969,42859,12,282
荷蘭航空,KL807,AMS,TPE,2024-10-31,2024-10-31,20:15,15:45,106969,42859,12,282
荷蘭航空,KL807,AMS,TPE,2024-11-01,2024-11-01,20:15,15:45,106969,42859,12,282
荷蘭航空,KL807,AMS,TPE,2024-11-03,2024-11-03,20:15,15:45,106969,42859,12,282
荷蘭航空,KL0210,TPE,AMS,2024-11-01,2024-11-01,23:10,07:20,11586,40119,12,282
荷蘭航空,KL0209,AMS,TPE,2024-10-28,2024-10-28,11:10,06:35,11624,42574,12,282
荷蘭航空,KL0209,AMS,TPE,2024-10-30,2024-10-30,11:10,06:35,11624,42574,12,282
荷蘭航空,KL0209,AMS,TPE,2024-11-01,2024-11-01,11:10,06:35,11624,42574,12,282
荷蘭航空,KL0209,AMS,TPE,2024-11-02,2024-11-02,11:10,06:35,11624,42574,12,282
荷蘭航空,KL4978,TPE,CTS,2024-10-28,2024-10-28,08:35,"	13:30",32378,13150,39,258
荷蘭航空,KL4978,TPE,CTS,2024-10-29,2024-10-29,08:35,"	13:30",32379,13151,39,258
荷蘭航空,KL4978,TPE,CTS,2024-10-30,2024-10-30,08:35,"	13:30",32380,13152,39,258
荷蘭航空,KL4978,TPE,CTS,2024-10-31,2024-10-31,08:35,"	13:30",32381,13153,39,258
荷蘭航空,KL4978,TPE,CTS,2024-11-01,2024-11-01,08:35,"	13:30",32382,13154,39,258
荷蘭航空,KL4978,TPE,CTS,2024-11-02,2024-11-02,08:35,"	13:30",32383,13155,39,258
