航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
中華航空,CI833,TPE,BKK,2024-10-28,2024-10-28,07:10,09:45,17796,6307,39 ,274 
中華航空,CI833,TPE,BKK,2024-10-29,2024-10-29,07:10,09:45,17796,6307,39 ,274 
中華航空,CI833,TPE,BKK,2024-10-30,2024-10-30,07:10,09:45,17796,6307,39 ,274 
中華航空,CI833,TPE,BKK,2024-10-31,2024-10-31,07:10,09:45,17796,6307,39 ,274 
中華航空,CI833,TPE,BKK,2024-11-01,2024-11-01,07:10,09:45,17796,6307,39 ,274 
中華航空,CI833,TPE,BKK,2024-11-02,2024-11-02,07:10,09:45,17796,6307,39 ,274 
中華航空,CI833,TPE,BKK,2024-11-03,2024-11-03,07:10,09:45,17796,6307,39 ,274 
中華航空,CI831,TPE,BKK,2024-10-28,2024-10-28,09:25,12:10,18910,6307,39 ,274 
中華航空,CI831,TPE,BKK,2024-10-29,2024-10-29,09:25,12:10,18910,6307,39 ,274 
中華航空,CI831,TPE,BKK,2024-10-30,2024-10-30,09:25,12:10,18910,6307,39 ,274 
中華航空,CI831,TPE,BKK,2024-10-31,2024-10-31,09:25,12:10,18910,6307,39 ,274 
中華航空,CI831,TPE,BKK,2024-11-01,2024-11-01,09:25,12:10,18910,6307,39 ,274 
中華航空,CI831,TPE,BKK,2024-11-02,2024-11-02,09:25,12:10,18910,6307,39 ,274 
中華航空,CI831,TPE,BKK,2024-11-03,2024-11-03,09:25,12:10,18910,6307,39 ,274 
中華航空,CI835,TPE,BKK,2024-10-28,2024-10-28,13:30,16:20,18910,5765,39 ,274 
中華航空,CI835,TPE,BKK,2024-10-29,2024-10-29,13:30,16:20,18910,5765,39 ,274 
中華航空,CI835,TPE,BKK,2024-10-30,2024-10-30,13:30,16:20,18910,5765,39 ,274 
中華航空,CI835,TPE,BKK,2024-10-31,2024-10-31,13:30,16:20,18910,5765,39 ,274 
中華航空,CI835,TPE,BKK,2024-11-01,2024-11-01,13:30,16:20,18910,5765,39 ,274 
中華航空,CI835,TPE,BKK,2024-11-02,2024-11-02,13:30,16:20,18910,5765,39 ,274 
中華航空,CI835,TPE,BKK,2024-11-03,2024-11-03,13:30,16:20,18910,5765,39 ,274 
中華航空,CI837,TPE,BKK,2024-10-28,2024-10-28,22:40,01:25,17516,4953,39 ,274 
中華航空,CI837,TPE,BKK,2024-10-29,2024-10-29,22:40,01:25,17516,4953,39 ,274 
中華航空,CI837,TPE,BKK,2024-10-30,2024-10-30,22:40,01:25,17516,4953,39 ,274 
中華航空,CI837,TPE,BKK,2024-10-31,2024-10-31,22:40,01:25,17516,4953,39 ,274 
中華航空,CI837,TPE,BKK,2024-11-01,2024-11-01,22:40,01:25,17516,4953,39 ,274 
中華航空,CI837,TPE,BKK,2024-11-02,2024-11-02,22:40,01:25,17516,4953,39 ,274 
中華航空,CI837,TPE,BKK,2024-11-03,2024-11-03,22:40,01:25,17516,4953,39 ,274 
中華航空,CI851,TPE,CNX,2024-10-29,2024-10-29,07:30,10:20,18591,10564,39 ,274 
中華航空,CI851,TPE,CNX,2024-10-30,2024-10-30,07:30,10:20,18591,10564,39 ,274 
中華航空,CI851,TPE,CNX,2024-11-01,2024-11-01,07:30,10:20,18591,10564,39 ,274 
中華航空,CI851,TPE,CNX,2024-11-02,2024-11-02,07:30,10:20,18591,10564,39 ,274 
中華航空,CI705,TPE,CEB,2024-10-28,2024-10-28,08:10,11:05,21174,10687,12 ,190 
中華航空,CI705,TPE,CEB,2024-10-29,2024-10-29,08:10,11:05,21174,10687,12 ,190 
中華航空,CI705,TPE,CEB,2024-10-31,2024-10-31,08:10,11:05,21174,10687,12 ,190 
中華航空,CI705,TPE,CEB,2024-11-02,2024-11-02,08:10,11:05,21174,10687,12 ,190 
中華航空,CI705,TPE,CEB,2024-11-03,2024-11-03,08:10,11:05,21174,10687,12 ,190 
中華航空,CI761,TPE,CGK,2024-10-28,2024-10-28,09:15,13:35,19819,7814,12 ,190 
中華航空,CI761,TPE,CGK,2024-10-29,2024-10-29,09:15,13:35,19819,7814,12 ,190 
中華航空,CI761,TPE,CGK,2024-10-30,2024-10-30,09:15,13:35,19819,7814,12 ,190 
中華航空,CI761,TPE,CGK,2024-10-31,2024-10-31,09:15,13:35,19819,7814,12 ,190 
中華航空,CI761,TPE,CGK,2024-11-01,2024-11-01,09:15,13:35,19819,7814,12 ,190 
中華航空,CI761,TPE,CGK,2024-11-02,2024-11-02,09:15,13:35,19819,7814,12 ,190 
中華航空,CI761,TPE,CGK,2024-11-03,2024-11-03,09:15,13:35,19819,7814,12 ,190 
