航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
達美航空,DL7742,TPE,PEN,2024-10-28,2024-10-28,09:30,14:10,48155,20612,12,190
達美航空,DL7742,TPE,PEN,2024-10-29,2024-10-29,09:30,14:10,48155,20612,12,190
達美航空,DL7742,TPE,PEN,2024-10-30,2024-10-30,09:30,14:10,48155,20612,12,190
達美航空,DL7742,TPE,PEN,2024-10-31,2024-10-31,09:30,14:10,48155,20612,12,190
達美航空,DL7742,TPE,PEN,2024-11-01,2024-11-01,09:30,14:10,48155,20612,12,190
達美航空,DL7742,TPE,PEN,2024-11-02,2024-11-02,09:30,14:10,48155,20612,12,190
達美航空,DL7742,TPE,PEN,2024-11-03,2024-11-03,09:30,14:10,48155,20612,12,190
達美航空,DL7743,PEN,TPE,2024-10-28,2024-10-28,15:10,19:55,49588,21458,12,190
達美航空,DL7743,PEN,TPE,2024-10-29,2024-10-29,15:10,19:55,49588,21458,12,190
達美航空,DL7743,PEN,TPE,2024-10-30,2024-10-30,15:10,19:55,49588,21458,12,190
達美航空,DL7743,PEN,TPE,2024-10-31,2024-10-31,15:10,19:55,49588,21458,12,190
達美航空,DL7743,PEN,TPE,2024-11-01,2024-11-01,15:10,19:55,49588,21458,12,190
達美航空,DL7743,PEN,TPE,2024-11-02,2024-11-02,15:10,19:55,49588,21458,12,190
達美航空,DL7743,PEN,TPE,2024-11-03,2024-11-03,15:10,19:55,49588,21458,12,190
達美航空,DL68,TPE,SEA,2024-10-28,2024-10-28,9:45,6:05,130115,31423,12,190
達美航空,DL68,TPE,SEA,2024-10-29,2024-10-29,9:45,6:05,130115,31423,12,190
達美航空,DL68,TPE,SEA,2024-10-30,2024-10-30,9:45,6:05,130115,31423,12,190
達美航空,DL68,TPE,SEA,2024-10-31,2024-10-31,9:45,6:05,130115,31423,12,190
達美航空,DL68,TPE,SEA,2024-11-01,2024-11-01,9:45,6:05,130115,31423,12,190
達美航空,DL68,TPE,SEA,2024-11-02,2024-11-02,9:45,6:05,130115,31423,12,190
達美航空,DL68,TPE,SEA,2024-11-03,2024-11-03,9:45,6:05,130115,31423,12,190
達美航空,DL69,SEA,TPE,2024-10-28,2024-10-28,15:20,20:05,156480,35584,12,190
達美航空,DL69,SEA,TPE,2024-10-29,2024-10-29,15:20,20:05,156480,35584,12,190
達美航空,DL69,SEA,TPE,2024-10-30,2024-10-30,15:20,20:05,156480,35584,12,190
達美航空,DL69,SEA,TPE,2024-10-31,2024-10-31,15:20,20:05,156480,35584,12,190
達美航空,DL69,SEA,TPE,2024-11-01,2024-11-01,15:20,20:05,156480,35584,12,190
達美航空,DL69,SEA,TPE,2024-11-02,2024-11-02,15:20,20:05,156480,35584,12,190
達美航空,DL69,SEA,TPE,2024-11-03,2024-11-03,15:20,20:05,156480,35584,12,190
