航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
韓亞航空,OZ6874,TPE,ICN,2024-10-28,2024-10-28,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-10-29,2024-10-29,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-10-30,2024-10-30,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-10-31,2024-10-31,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-01,2024-11-01,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-02,2024-11-02,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-03,2024-11-03,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-10-28,2024-10-28,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-10-30,2024-10-30,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-01,2024-11-01,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-03,2024-11-03,08:55,12:25,17489,10689,30,279
韓亞航空,OZ712,TPE,ICN,2024-10-28,2024-10-28,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-10-29,2024-10-29,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-10-30,2024-10-30,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-10-31,2024-10-31,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-01,2024-11-01,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-02,2024-11-02,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-03,2024-11-03,13:15,17:05,13089,8289,66,417
韓亞航空,OZ6872,TPE,ICN,2024-10-28,2024-10-28,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-10-29,2024-10-29,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-10-30,2024-10-30,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-10-31,2024-10-31,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-01,2024-11-01,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-02,2024-11-02,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-03,2024-11-03,15:15,18:45,17489,10689,30,279
韓亞航空,OZ714,TPE,ICN,2024-10-28,2024-10-28,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-10-29,2024-10-29,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-10-30,2024-10-30,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-10-31,2024-10-31,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-01,2024-11-01,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-02,2024-11-02,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-03,2024-11-03,17:10,20:40,13089,7389,30,268
韓亞航空,OZ6874,TPE,ICN,2024-11-04,2024-11-04,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-05,2024-11-05,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-06,2024-11-06,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-07,2024-11-07,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-08,2024-11-08,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-09,2024-11-09,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-10,2024-11-10,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-04,2024-11-04,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-06,2024-11-06,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-08,2024-11-08,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-10,2024-11-10,08:55,12:25,17489,10689,30,279
韓亞航空,OZ712,TPE,ICN,2024-11-04,2024-11-04,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-05,2024-11-05,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-06,2024-11-06,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-07,2024-11-07,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-08,2024-11-08,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-09,2024-11-09,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-10,2024-11-10,13:15,17:05,13089,8289,66,417
韓亞航空,OZ6872,TPE,ICN,2024-11-04,2024-11-04,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-05,2024-11-05,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-06,2024-11-06,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-07,2024-11-07,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-08,2024-11-08,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-09,2024-11-09,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-10,2024-11-10,15:15,18:45,17489,10689,30,279
韓亞航空,OZ714,TPE,ICN,2024-11-04,2024-11-04,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-05,2024-11-05,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-06,2024-11-06,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-07,2024-11-07,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-08,2024-11-08,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-09,2024-11-09,17:10,20:40,13089,7389,30,268
韓亞航空,OZ714,TPE,ICN,2024-11-10,2024-11-10,17:10,20:40,13089,7389,30,268
韓亞航空,OZ6874,TPE,ICN,2024-11-11,2024-11-11,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-12,2024-11-12,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-13,2024-11-13,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-14,2024-11-14,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-15,2024-11-15,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-16,2024-11-16,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6874,TPE,ICN,2024-11-17,2024-11-17,07:30,11:00,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-11,2024-11-11,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-13,2024-11-13,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-15,2024-11-15,08:55,12:25,17489,10689,30,279
韓亞航空,OZ6880,TPE,ICN,2024-11-17,2024-11-17,08:55,12:25,17489,10689,30,279
韓亞航空,OZ712,TPE,ICN,2024-11-11,2024-11-11,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-12,2024-11-12,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-13,2024-11-13,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-14,2024-11-14,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-15,2024-11-15,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-16,2024-11-16,13:15,17:05,13089,8289,66,417
韓亞航空,OZ712,TPE,ICN,2024-11-17,2024-11-17,13:15,17:05,13089,8289,66,417
韓亞航空,OZ6872,TPE,ICN,2024-11-11,2024-11-11,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-12,2024-11-12,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-13,2024-11-13,15:15,18:45,17489,10689,30,279
韓亞航空,OZ6872,TPE,ICN,2024-11-14,2024-11-14,15:15,18:45,17489,10689,30,279
