航空公司,航班號,機場代碼,機場代碼,出發日期,抵達日期,起飛時,到達時,商務艙票價,經濟艙票價,商務艙數量,經濟艙數量
臺灣虎航,IT551,TPE,DAD,2024-10-29,2024-10-29,16:15,18:10,0,4399,0,180
臺灣虎航,IT551,TPE,DAD,2024-11-02,2024-11-02,16:15,18:10,0,4399,0,180
臺灣虎航,IT551,TPE,DAD,2024-11-01,2024-11-01,16:55,18:40,0,4399,0,180
臺灣虎航,IT503,TPE,HKT,2024-11-02,2024-11-02,14:50,18:00,0,6046,0,180
臺灣虎航,IT552,DAD,TPE,2024-10-28,2024-10-28,17:30,21:15,0,4399,0,180
臺灣虎航,IT552,DAD,TPE,2024-10-29,2024-10-29,17:30,21:15,0,4399,0,180
臺灣虎航,IT552,DAD,TPE,2024-10-30,2024-10-30,17:30,21:15,0,4399,0,180
臺灣虎航,IT552,DAD,TPE,2024-10-31,2024-10-31,17:30,21:15,0,4399,0,180
臺灣虎航,IT552,DAD,TPE,2024-11-01,2024-11-01,17:30,21:15,0,4399,0,180
臺灣虎航,IT552,DAD,TPE,2024-11-03,2024-11-03,17:30,21:15,0,4399,0,180
臺灣虎航,IT552,DAD,TPE,2024-11-02,2024-11-02,17:30,21:10,0,4399,0,180
臺灣虎航,IT504,HKT,TPE,2024-10-31,2024-10-31,18:50,00:05,0,6046,0,180
臺灣虎航,IT504,HKT,TPE,2024-11-02,2024-11-02,18:50,00:05,0,6046,0,180
臺灣虎航,IT301,TPE,MFM,2024-10-28,2024-10-28,06:35,08:25,0,1399,0,180
臺灣虎航,IT301,TPE,MFM,2024-10-30,2024-10-30,06:35,08:25,0,1399,0,180
臺灣虎航,IT301,TPE,MFM,2024-11-01,2024-11-01,06:35,08:25,0,1399,0,180
臺灣虎航,IT301,TPE,MFM,2024-11-03,2024-11-03,06:35,08:25,0,1399,0,180
臺灣虎航,IT304,MFM,TPE,2024-10-28,2024-10-28,14:55,16:35,0,1399,0,180
臺灣虎航,IT304,MFM,TPE,2024-10-30,2024-10-30,14:55,16:35,0,1399,0,180
臺灣虎航,IT304,MFM,TPE,2024-11-01,2024-11-01,14:55,16:35,0,1399,0,180
臺灣虎航,IT304,MFM,TPE,2024-11-03,2024-11-03,15:25,17:20,0,1399,0,180
臺灣虎航,IT234,TPE,CTS,2024-10-28,2024-10-28,06:20,11:05,0,5099,0,175
臺灣虎航,IT234,TPE,CTS,2024-10-29,2024-10-29,06:20,11:05,0,5099,0,175
臺灣虎航,IT234,TPE,CTS,2024-10-30,2024-10-30,06:20,11:05,0,5099,0,175
臺灣虎航,IT234,TPE,CTS,2024-10-31,2024-10-31,06:20,11:05,0,5099,0,175
臺灣虎航,IT234,TPE,CTS,2024-11-01,2024-11-01,06:20,11:05,0,5099,0,175
臺灣虎航,IT234,TPE,CTS,2024-11-02,2024-11-02,06:20,11:05,0,5099,0,175
臺灣虎航,IT234,TPE,CTS,2024-11-03,2024-11-03,06:20,11:05,0,5099,0,175
臺灣虎航,IT240,TPE,FUK,2024-10-28,2024-10-28,06:15,09:35,0,2699,0,175
臺灣虎航,IT240,TPE,FUK,2024-10-31,2024-10-31,06:15,09:35,0,2699,0,175
臺灣虎航,IT240,TPE,FUK,2024-11-03,2024-11-03,06:15,09:35,0,2699,0,175
臺灣虎航,IT240,TPE,FUK,2024-10-29,2024-10-29,06:45,10:05,0,2699,0,175
臺灣虎航,IT240,TPE,FUK,2024-10-30,2024-10-30,06:45,10:05,0,2699,0,175
臺灣虎航,IT240,TPE,FUK,2024-11-01,2024-11-01,06:45,10:05,0,2699,0,175
臺灣虎航,IT240,TPE,FUK,2024-11-02,2024-11-02,06:45,10:05,0,2699,0,175
臺灣虎航,IT216,TPE,HND,2024-10-28,2024-10-28,00:10,04:25,0,4299,0,175
臺灣虎航,IT216,TPE,HND,2024-10-29,2024-10-29,00:10,04:25,0,4299,0,175
臺灣虎航,IT216,TPE,HND,2024-10-30,2024-10-30,00:10,04:25,0,4299,0,175
臺灣虎航,IT216,TPE,HND,2024-11-03,2024-11-03,00:10,04:25,0,4299,0,175
臺灣虎航,IT216,TPE,HND,2024-10-31,2024-10-31,00:10,04:25,0,4299,0,175
臺灣虎航,IT216,TPE,HND,2024-11-01,2024-11-01,00:10,04:25,0,4299,0,175
臺灣虎航,IT216,TPE,HND,2024-11-02,2024-11-02,00:10,04:25,0,4299,0,175
臺灣虎航,IT602,TPE,ICN,2024-10-28,2024-10-28,20:00,"	23:30",0,2599,0,175
臺灣虎航,IT603,TPE,ICN,2024-10-29,2024-10-29,20:00,"	23:30",0,2599,0,175
臺灣虎航,IT604,TPE,ICN,2024-10-30,2024-10-30,20:00,"	23:30",0,2599,0,175
臺灣虎航,IT605,TPE,ICN,2024-10-31,2024-10-31,20:00,"	23:30",0,2599,0,175
臺灣虎航,IT606,TPE,ICN,2024-11-01,2024-11-01,20:00,"	23:30",0,2599,0,175
臺灣虎航,IT607,TPE,ICN,2024-11-02,2024-11-02,20:00,"	23:30",0,2599,0,175
臺灣虎航,IT608,TPE,ICN,2024-11-03,2024-11-03,20:00,"	23:30",0,2599,0,175
臺灣虎航,IT710,TPE,KIX,2024-10-28,2024-10-28,07:05,10:55,0,2878,0,175
臺灣虎航,IT710,TPE,KIX,2024-10-30,2024-10-30,07:05,10:55,0,2878,0,175
臺灣虎航,IT710,TPE,KIX,2024-11-02,2024-11-02,07:05,10:55,0,2878,0,175
臺灣虎航,IT710,TPE,KIX,2024-11-01,2024-11-01,07:10,10:55,0,2878,0,175
臺灣虎航,IT210,TPE,KIX,2024-10-28,2024-10-28,06:40,10:25,0,2878,0,175
臺灣虎航,IT210,TPE,KIX,2024-10-29,2024-10-29,06:40,10:25,0,2878,0,175
臺灣虎航,IT210,TPE,KIX,2024-10-30,2024-10-30,06:40,10:25,0,2878,0,175
臺灣虎航,IT210,TPE,KIX,2024-10-31,2024-10-31,06:40,10:25,0,2878,0,175
臺灣虎航,IT210,TPE,KIX,2024-11-01,2024-11-01,06:40,10:25,0,2878,0,175
臺灣虎航,IT210,TPE,KIX,2024-11-02,2024-11-02,06:40,10:25,0,2878,0,175
臺灣虎航,IT210,TPE,KIX,2024-11-03,2024-11-03,06:40,10:25,0,2878,0,175
臺灣虎航,IT212,TPE,KIX,2024-10-28,2024-10-28,15:15,19:00,0,37421,0,175
臺灣虎航,IT212,TPE,KIX,2024-10-29,2024-10-29,14:20,17:55,0,37421,0,175
臺灣虎航,IT212,TPE,KIX,2024-10-30,2024-10-30,15:20,19:00,0,37421,0,175
臺灣虎航,IT212,TPE,KIX,2024-11-01,2024-11-01,13:55,17:55,0,37421,0,175
臺灣虎航,IT212,TPE,KIX,2024-11-03,2024-11-03,13:55,17:55,0,37421,0,175
臺灣虎航,IT252,TPE,KMQ,2024-10-31,2024-10-31,12:10,16:05,0,4321,0,175
臺灣虎航,IT252,TPE,KMQ,2024-11-03,2024-11-03,12:10,16:05,0,4321,0,175
臺灣虎航,IT200,TPE,NRT,2024-10-28,2024-10-28,06:35,11:00,0,3289,0,175
臺灣虎航,IT200,TPE,NRT,2024-10-29,2024-10-29,06:35,11:00,0,3289,0,175
臺灣虎航,IT200,TPE,NRT,2024-10-30,2024-10-30,06:35,11:00,0,3289,0,175
臺灣虎航,IT200,TPE,NRT,2024-10-31,2024-10-31,06:35,11:00,0,3289,0,175
臺灣虎航,IT200,TPE,NRT,2024-11-01,2024-11-01,06:35,11:00,0,3289,0,175
臺灣虎航,IT200,TPE,NRT,2024-11-02,2024-11-02,06:35,11:00,0,3289,0,175
臺灣虎航,IT200,TPE,NRT,2024-11-03,2024-11-03,06:35,11:00,0,3289,0,175
臺灣虎航,IT202,TPE,NRT,2024-10-28,2024-10-28,14:20,18:35,0,3289,0,175
